country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths
Croatia,HRV,persons,"Communicable, maternal, perinatal and nutritional conditions",9255.12,15.35
Croatia,HRV,persons,Noncommunicable diseases,48516.2,80.45
Croatia,HRV,persons,Injuries,2532.72,4.2
Croatia,HRV,males,"Communicable, maternal, perinatal and nutritional conditions",4959.96,8.22
Croatia,HRV,males,Noncommunicable diseases,22815.34,37.83
Croatia,HRV,males,Injuries,1475.46,2.45
Croatia,HRV,females,"Communicable, maternal, perinatal and nutritional conditions",4295.16,7.12
Croatia,HRV,females,Noncommunicable diseases,25700.85,42.62
Croatia,HRV,females,Injuries,1057.26,1.75
Cuba,CUB,persons,"Communicable, maternal, perinatal and nutritional conditions",58181.76,34.61
Cuba,CUB,persons,Noncommunicable diseases,102635.39,61.05
Cuba,CUB,persons,Injuries,7294.37,4.34
Cuba,CUB,males,"Communicable, maternal, perinatal and nutritional conditions",32227.97,19.17
Cuba,CUB,males,Noncommunicable diseases,57030.39,33.92
Cuba,CUB,males,Injuries,4205.25,2.5
Cuba,CUB,females,"Communicable, maternal, perinatal and nutritional conditions",25953.8,15.44
Cuba,CUB,females,Noncommunicable diseases,45605.0,27.13
Cuba,CUB,females,Injuries,3089.12,1.84
Cyprus,CYP,persons,"Communicable, maternal, perinatal and nutritional conditions",1094.62,12.97
Cyprus,CYP,persons,Noncommunicable diseases,6982.27,82.76
Cyprus,CYP,persons,Injuries,359.48,4.26
Cyprus,CYP,males,"Communicable, maternal, perinatal and nutritional conditions",584.9,6.93
Cyprus,CYP,males,Noncommunicable diseases,3612.7,42.82
Cyprus,CYP,males,Injuries,209.33,2.48
Cyprus,CYP,females,"Communicable, maternal, perinatal and nutritional conditions",509.72,6.04
Cyprus,CYP,females,Noncommunicable diseases,3369.58,39.94
Cyprus,CYP,females,Injuries,150.15,1.78
Czechia,CZE,persons,"Communicable, maternal, perinatal and nutritional conditions",32888.79,23.46
Czechia,CZE,persons,Noncommunicable diseases,102289.97,72.97
Czechia,CZE,persons,Injuries,4996.69,3.56
Czechia,CZE,males,"Communicable, maternal, perinatal and nutritional conditions",18636.55,13.3
Czechia,CZE,males,Noncommunicable diseases,51706.4,36.89
Czechia,CZE,males,Injuries,3369.67,2.4
Czechia,CZE,females,"Communicable, maternal, perinatal and nutritional conditions",14252.24,10.17
Czechia,CZE,females,Noncommunicable diseases,50583.57,36.09
Czechia,CZE,females,Injuries,1627.03,1.16
Democratic People's Republic of Korea,PRK,persons,"Communicable, maternal, perinatal and nutritional conditions",33385.86,12.58
Democratic People's Republic of Korea,PRK,persons,Noncommunicable diseases,209833.24,79.08
Democratic People's Republic of Korea,PRK,persons,Injuries,20020.31,7.55
Democratic People's Republic of Korea,PRK,males,"Communicable, maternal, perinatal and nutritional conditions",19497.93,7.35
Democratic People's Republic of Korea,PRK,males,Noncommunicable diseases,101968.64,38.43
Democratic People's Republic of Korea,PRK,males,Injuries,13922.87,5.25
